date,stage,team,orders_count
2024-07-29,intake,Intake,22
2024-08-05,intake,Intake,25
2024-08-12,intake,Intake,28
2024-08-19,intake,Intake,30
2024-08-26,intake,Intake,38
2024-09-02,intake,Intake,45
2024-09-09,intake,Intake,48
2024-07-29,prior_auth,PriorAuth,16
2024-08-05,prior_auth,PriorAuth,18
2024-08-12,prior_auth,PriorAuth,20
2024-08-19,prior_auth,PriorAuth,22
2024-08-26,prior_auth,PriorAuth,35
2024-09-02,prior_auth,PriorAuth,40
2024-09-09,prior_auth,PriorAuth,42
2024-07-29,fulfillment,Fulfillment,24
2024-08-05,fulfillment,Fulfillment,30
2024-08-12,fulfillment,Fulfillment,32
2024-08-19,fulfillment,Fulfillment,34
2024-08-26,fulfillment,Fulfillment,45
2024-09-02,fulfillment,Fulfillment,52
2024-09-09,fulfillment,Fulfillment,55
